TJ_GENP_4,"Now will you let me pass? I need to get a tailor as soon as possible.",
TJ_GENP_5,"A tailor...? Do you need something tailor-made?",
TJ_GENP_6,"Dreams are tailor-made to each person's mind too, you know.",
TJ_GENP_7,"I am a tailored maid if that counts",
TJ_GENP_8,"Good grief, I am leaving.",
TJ_TOY_1,"Huh? What are you doing here alone?",
TJ_TOY_2,"Are you back for more? Are you not tired of this?",
TJ_TOY_3,"Oh, you.",
TJ_TOY_4,"We leave our grudges aside for now. I have something to ask of you.",
TJ_TOY_5,"I need a tailor from the Lunar Capital.",
TJ_TOY_6,"Huhhhhh. Sure.",
TJ_TOY_7,"I am genuine.",
TJ_TOY_8,"You telling me, someone who attacked for- how many times? Is just here asking me to get a tailor.",
TJ_TOY_9,"Let's just cut to the chase. Hecatia is with you right?",
TJ_TOY_10,"She's busy in hell running a... fashion shop.",
TJ_TOY_11,"Riiiight. Sure.",
TJ_TOY_12,"I'm giving you a chance to leave. I am enjoying a vacation right now, you know.",
TJ_TOY_13,"I sometimes sneak out just to take my mind off the bureaucracy. My sister doesn't really like that.",
TJ_TOY_14,"You mean that vacation of imprisoning a half-god to run that ""Ay Ai"" whatever she called it?.",
TJ_TOY_15,"Look, I'm just doing whatever is necessary, okay?",
TJ_TOY_16,"Let's just get this over with.",
TJ_TOYP_1,"Your attacks are much more defensive. What's up with that?",
TJ_TOYP_2,"Are you feeling guilty?",
TJ_TOYP_3,"Guilty? Don't be silly.",
TJ_TOYP_4,"Actions don't lie. You got something in your mind.",
TJ_TOYP_5,"It's probably related to the recent incident isn't it.",
TJ_TOYP_6,"What do you even know about it? You're not there.",
TJ_TOYP_7,"Are you here for technology this entire time? A technology that can be tailored to the preference of any user?",
TJ_TOYP_8,"No, a suit tailor. For Reisen. It's getting a bit of wear and tear.",
TJ_TOYP_9,"Oh, her. I used to-",
TJ_TOYP_10,"I know. I know. You are a terrible owner.",
TJ_TOYP_11,"See here, you are here staring at Earth longingly every night.",
TJ_TOYP_12,"Do you feel that, sometimes, maybe that Gensokyo just had something that you miss?",
TJ_TOYP_13,"That impure place? You think I want anything to do with that?",
TJ_TOYP_14,"Do you not ever feel bored? To live on a clean slate for thousands of years?",
TJ_TOYP_15,"You leave the capital every so often. You now even styled a mobcap; not exactly common there. I can feel that you are soul searching.",
TJ_TOYP_16,"...",
TJ_TOYP_17,"You know, the residents of Gensokyo may seem like a patchwork of different species and beliefs, but they're all cut from the same cloth",
TJ_TOYP_18,"It's the variety that makes the spice of life. Despite the difference, they live in harmony with their own little tailored space. Isn't that more colorful?",
TJ_TOYP_19,"What's up with this random lecture? You never ran a city, your opinion is useless to me.",
TJ_TOYP_20,"Look, I'll get a tailor to sew up a new blazer. I already got Reisen's measurement. Please, just leave.",
TJ_TOYP_21,"Whatever, not my problem anyways. Just get the suit ready soon.",
TJ_TOYP_22,"(I guess this is it. Was not expecting to be lecturing a lunarian of all people.)",
TJ_TOYP_23,"(God, the way that shrine maiden speaks is rubbing off on me.)",
TJ_ENDING_1,"3 days later...",
TJ_ENDING_2,"Eirin: Junko, there is a package labeled for you. It's from Toyohime.\nIt had to pass through a couple of people, because they can't exactly just come here.\nJunko: Right, I forgot to consider the logistics of that. At least it's here in time.",
TJ_ENDING_3,"Eirin: What did you say for her to even agree to this?\nJunko: She did it under her own volition.\nEirin: Okayyyy... Sure?",
TJ_ENDING_4,"Back at home somewhere...",
TJ_ENDING_5,"Reisen: You got this suit just for me? Is the suit not from the Lunar Capital?\nHow did you even get your hand on this?",
TJ_ENDING_6,"Junko: Let's just say... I did some negotiations.\nIt seemed important to you, so I thought I should do something about it.",
TJ_ENDING_7,"Reisen: ...Thank you...\nI'll cherish this forever, you're the best!!!",
TJ_ENDING_8,"...",
TJ_ENDING_9,"Perhaps... a mother's love is what is truly tailor made.",
